longitudinal_ha,transversal_ha,unite,famille_id/id,code_article,longueur,largeur,poids_unit,diametre,diametre_longitudinal,maille_longitudinal,maille_transversal
,HA,U,production.production_famille_cadre,CA77x12HA,,,3.05100012e+00,1.20000000e+01,,890,770
,,U,production.production_famille_treillis_soudes,CLC4,3450,1960,1.00000000e+01,4.00000000e+00,4.00000000e+00,200,100
,,U,production.production_famille_treillis_soudes,CLR13,2485,1900,1.50000000e+01,5.00000000e+00,5.00000000e+00,75,200
,,U,production.production_famille_treillis_soudes,CLRS2,2600,2380,2.58999996e+01,5.00000000e+00,5.00000000e+00,50,200
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD12HAx6000,6000,,1.00000000e+00,1.20000000e+01,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD4HAx3000,3000,,1.00000000e+00,4.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAx1900,1900,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAX2150,2150,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAx2400,2400,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAX2450,2450,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAX2950,2950,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAx2970,2970,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAx3000,3000,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD5HAx6000,6000,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD6HAx2400,2400,,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAX1760,1760,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx1800,1800,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAX1840,1840,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx2400,2400,,1.00000000e+00,8.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR:5,5",,,1.00000000e+00,5.50000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,TRD4X3000,3000,,1.00000000e+00,4.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,TRD6x6000,6000,,1.00000000e+00,6.00000000e+00,,,
,,Kg,production.production_famille_fil_machine,"FLM8,5",,,1.00000000e+00,8.50000000e+00,,,
,HA,Kg,production.production_famille_barres_dressees_coupees,CRD8HAx6000,6000,,1.00000000e+00,8.00000000e+00,,,
,HA,Kg,production.production_famille_fil_crante,CRR10,,,1.00000000e+00,1.00000000e+01,,,
,HA,Kg,production.production_famille_fil_crante,CRR12,,,1.00000000e+00,1.20000000e+01,,,
,HA,Kg,production.production_famille_fil_crante,CRR5,,,1.00000000e+00,5.00000000e+00,,,
,HA,Kg,production.production_famille_fil_crante,CRR6,,,1.00000000e+00,6.00000000e+00,,,
,HA,Kg,production.production_famille_fil_crante,CRR7,,,1.00000000e+00,7.00000000e+00,,,
,HA,Kg,production.production_famille_fil_crante,CRR8,,,1.00000000e+00,8.00000000e+00,,,
,HA,U,production.production_famille_etrier,ET73x8HA,730,,6.85000002e-01,8.00000000e+00,,,
,HA,U,production.production_famille_etrier,ET75x8HA,750,,6.99999988e-01,8.00000000e+00,,,
,HA,U,production.production_famille_etrier,ET77x8HA,770,,7.13000000e-01,8.00000000e+00,,,
,,Kg,production.production_famille_fil_machine,FLM10,,,1.00000000e+00,1.00000000e+01,,,
,,Kg,production.production_famille_fil_machine,FLM14,,,1.00000000e+00,1.40000000e+01,,,
,,Kg,production.production_famille_fil_machine,"FLM5,5",,,1.00000000e+00,5.50000000e+00,,,
,,Kg,production.production_famille_fil_machine,FLM6,,,1.00000000e+00,6.00000000e+00,,,
,,Kg,production.production_famille_fil_machine,"FLM6,5",,,1.00000000e+00,6.50000000e+00,,,
,,Kg,production.production_famille_fil_machine,FLM7,,,1.00000000e+00,7.00000000e+00,,,
,,Kg,production.production_famille_fil_machine,FLM8,,,1.00000000e+00,8.00000000e+00,,,
,,Kg,production.production_famille_fil_machine,FLM9,,,1.00000000e+00,9.00000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,"TRD10,6x300",300,,1.00000000e+00,1.06000004e+01,,,
,,Kg,production.production_famille_barres_dressees_coupees,"TRD10,6x330",330,,1.00000000e+00,1.06000004e+01,,,
,,Kg,production.production_famille_barres_dressees_coupees,"TRD9,5x13037",13037,,1.00000000e+00,9.50000000e+00,,,
,,Kg,production.production_famille_barres_dressees_coupees,TRD9x364,364,,1.00000000e+00,9.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR10,45",,,1.00000000e+00,1.04499998e+01,,,
,,Kg,production.production_famille_fil_trefile,"TRR2,87",,,1.00000000e+00,2.86999989e+00,,,
,,Kg,production.production_famille_fil_trefile,TRR3,,,1.00000000e+00,3.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,TRR4,,,1.00000000e+00,4.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,TRR5,,,1.00000000e+00,5.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,TRR6,,,1.00000000e+00,6.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR6,9",,,1.00000000e+00,6.90000010e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR7,9",,,1.00000000e+00,7.90000010e+00,,,
,,Kg,production.production_famille_fil_trefile,TRR8,,,1.00000000e+00,8.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,TRR9,,,1.00000000e+00,9.00000000e+00,,,
,,Kg,production.production_famille_fil_trefile,"TRR9,5",,,1.00000000e+00,9.50000000e+00,,,
HA,HA,U,production.production_famille_treillis_soudes,TSC1,3000,2400,1.10880003e+01,5.00000000e+00,5.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,TSC12,3000,2400,3.79440002e+01,8.00000000e+00,8.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,TSC12L,6000,2400,5.68800011e+01,8.00000000e+00,8.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,TSC2,3000,2400,1.48319998e+01,5.00000000e+00,5.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,TSC2L,6000,2400,2.96639996e+01,5.00000000e+00,5.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,TSC3,3000,2400,1.59840002e+01,6.00000000e+00,6.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,TSC4,3000,2400,2.13120003e+01,6.00000000e+00,6.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,TSC6,3000,2400,2.21760006e+01,5.00000000e+00,5.00000000e+00,100,100
HA,HA,U,production.production_famille_treillis_soudes,TSC6S1,1900,1300,7.60760021e+00,5.00000000e+00,5.00000000e+00,100,100
HA,HA,U,production.production_famille_treillis_soudes,TSC6S2,2500,1900,1.46300001e+01,5.00000000e+00,5.00000000e+00,100,100
HA,HA,U,production.production_famille_treillis_soudes,TSC7L,6000,2400,5.68800011e+01,8.00000000e+00,8.00000000e+00,200,200
HA,HA,U,production.production_famille_treillis_soudes,TSC9L,6000,2400,6.39360008e+01,6.00000000e+00,6.00000000e+00,100,100
,,U,production.production_famille_treillis_soudes,TSG1,2000,1000,7.90000010e+00,4.00000000e+00,4.00000000e+00,50,50
HA,HA,U,production.production_famille_treillis_soudes,TSC4L,6000,2400,4.26240005e+01,6.00000000e+00,6.00000000e+00,150,150
HA,HA,U,production.production_famille_treillis_soudes,TSC6L,6000,2400,4.43520012e+01,5.00000000e+00,5.00000000e+00,100,100
,,U,production.production_famille_treillis_soudes,TSL1,3000,2400,3.96000004e+00,3.00000000e+00,3.00000000e+00,300,150
,,U,production.production_famille_treillis_soudes,TSL5,3000,2400,1.43999996e+01,4.00000000e+00,4.00000000e+00,100,100
,,U,production.production_famille_treillis_soudes,TSL6,3000,2400,1.48319998e+01,5.00000000e+00,5.00000000e+00,150,150
,,U,production.production_famille_treillis_soudes,TSLS1,6000,364,1.62000008e+01,9.00000000e+00,9.00000000e+00,200,150
,,U,production.production_famille_treillis_soudes,TSLS2,800,1000,1.23199999e+00,3.00000000e+00,3.00000000e+00,100,50
,,U,production.production_famille_treillis_soudes,TSLS3,1000,1000,1.53999996e+00,3.00000000e+00,3.00000000e+00,100,50
,,U,production.production_famille_treillis_soudes,TSLS4,1300,1000,2.00200009e+00,3.00000000e+00,3.00000000e+00,100,50
